date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
"February 2, 2013",Tennessee,Memphis,2514 Mount Moriah,0,5,http://www.gunviolencearchive.org/incident/479573,https://www.highbeam.com/doc/1P2-34349822.html
"February 3, 2013",California,Yuba (county),5800 block of Poplar Avenue,1,3,http://www.gunviolencearchive.org/incident/479580,http://sacramento.cbslocal.com/2013/02/04/1-dead-3-hurt-in-olivehurst-shooting/
"February 7, 2013",Illinois,Chicago,2500 block of East 75th Street,0,4,http://www.gunviolencearchive.org/incident/479592,http://chicago.cbslocal.com/2013/02/07/four-wounded-in-south-shore-shooting/
"February 9, 2013",Louisiana,New Orleans,400 block of Bourbon Street,0,4,http://www.gunviolencearchive.org/incident/479603,http://www.nola.com/crime/index.ssf/2013/04/suspect_sought_in_bourbon_stre.html
"February 11, 2013",California,Vallejo,800 block of Humboldt Street,1,4,http://www.gunviolencearchive.org/incident/480311,http://archive.news10.net/news/article/229997/2/5-shot-in-Vallejo-dead-victim-identified
"February 11, 2013",Delaware,Wilmington,500 North King Street,3,2,http://www.gunviolencearchive.org/incident/480327,http://www.philly.com/philly/news/Police_ID_victims_in_Wilmington_courthouse_shooting.html
"February 12, 2013",Utah,Midvale,8286 Adams Street and 450 West Street,4,1,http://www.gunviolencearchive.org/incident/480344,
"February 19, 2013",California,Orange (county),Katella Avenue,4,3,http://www.gunviolencearchive.org/incident/480358,http://www.dailymail.co.uk/news/article-2281171/California-shooting-suspect-Ali-Syed-gunned-woman-bloody-25-minute-murder-spree.html
"February 21, 2013",Oklahoma,Tulsa,1200 block of North 89th East Avenue,1,3,http://www.gunviolencearchive.org/incident/480383,http://www.krmg.com/news/news/local/more-details-emerging-shooting-rampage-spartan-lan/nWXMX/
"February 22, 2013",Michigan,Grand Rapids,1447 Grandville Ave. SW,0,4,http://www.gunviolencearchive.org/incident/480401,http://www.mlive.com/news/grand-rapids/index.ssf/2013/03/whos_to_blame_for_new_roosevel.html
